symbol,header,message,date,amount
QFIN,Dividend,QFIN announced a cash dividend of 0.70 with an ex-date of Apr. 23 2025,2025-04-23,0.70
OBDC,Dividend,OBDC announced a cash dividend of 0.37 with an ex-date of Mar. 31 2025,2025-03-31,0.37
RITM,Dividend,RITM announced a cash dividend of 0.25 with an ex-date of Mar. 31 2025,2025-03-31,0.25
TIMB,Dividend,TIMB announced a cash dividend of 0.178 with an ex-date of Apr. 4 2025,2025-04-04,0.178
GBCI,Dividend,GBCI announced a cash dividend of 0.33 with an ex-date of Apr. 8 2025,2025-04-08,0.33
KRG,Dividend,KRG announced a cash dividend of 0.27 with an ex-date of Apr. 9 2025,2025-04-09,0.27
CMC,Dividend,CMC announced a cash dividend of 0.18 with an ex-date of Mar. 31 2025,2025-03-31,0.18
NFG,Dividend,NFG announced a cash dividend of 0.515 with an ex-date of Mar. 31 2025,2025-03-31,0.515
SAIC,Dividend,SAIC announced a cash dividend of 0.37 with an ex-date of Apr. 11 2025,2025-04-11,0.37
EPRT,Dividend,EPRT announced a cash dividend of 0.295 with an ex-date of Mar. 31 2025,2025-03-31,0.295
LNC,Dividend,LNC announced a cash dividend of 0.45 with an ex-date of Apr. 10 2025,2025-04-10,0.45
CIG,Dividend,CIG announced a cash dividend of 0.033 with an ex-date of Mar. 31 2025,2025-03-31,0.033
MAIN,Dividend,MAIN announced a cash dividend of 0.25 with an ex-date of Apr. 8 2025,2025-04-08,0.25
HMY,Dividend,HMY announced a cash dividend of 0.124 with an ex-date of Apr. 11 2025,2025-04-11,0.124
CHX,Dividend,CHX announced a cash dividend of 0.095 with an ex-date of Apr. 4 2025,2025-04-04,0.095
IDCC,Dividend,IDCC announced a cash dividend of 0.60 with an ex-date of Apr. 9 2025,2025-04-09,0.60
THO,Dividend,THO announced a cash dividend of 0.50 with an ex-date of Apr. 8 2025,2025-04-08,0.50
CUZ,Dividend,CUZ announced a cash dividend of 0.32 with an ex-date of Apr. 3 2025,2025-04-03,0.32
PECO,Dividend,PECO announced a cash dividend of 0.102 with an ex-date of Apr. 15 2025,2025-04-15,0.102
SOBO,Dividend,SOBO announced a cash dividend of 0.50 with an ex-date of Mar. 31 2025,2025-03-31,0.50
CTRE,Dividend,CTRE announced a cash dividend of 0.335 with an ex-date of Mar. 31 2025,2025-03-31,0.335
SLG,Dividend,SLG announced a cash dividend of 0.257 with an ex-date of Mar. 31 2025,2025-03-31,0.257
KRC,Dividend,KRC announced a cash dividend of 0.54 with an ex-date of Mar. 31 2025,2025-03-31,0.54
ACA,Dividend,ACA announced a cash dividend of 0.05 with an ex-date of Apr. 15 2025,2025-04-15,0.05
SM,Dividend,SM announced a cash dividend of 0.20 with an ex-date of Apr. 17 2025,2025-04-17,0.20
SFBS,Dividend,SFBS announced a cash dividend of 0.335 with an ex-date of Apr. 1 2025,2025-04-01,0.335
TNET,Dividend,TNET announced a cash dividend of 0.275 with an ex-date of Apr. 1 2025,2025-04-01,0.275
TXNM,Dividend,TXNM announced a cash dividend of 0.407 with an ex-date of Apr. 25 2025,2025-04-25,0.407
